,current_lambda_param,current_params,iteration,loss
0,None,"{'l1': 905, 'l2': 902, 'l3': 706, 'l4': 798, 'l5': 211, 'l6': 743, 'l7': 934}",-1,0.9732510288065844
1,l1,"{'l1': 851.3909465020575, 'l2': 902, 'l3': 706, 'l4': 798, 'l5': 211, 'l6': 743, 'l7': 934}",0,0.9
2,l2,"{'l1': 851.3909465020575, 'l2': 409.9794238683128, 'l3': 706, 'l4': 798, 'l5': 211, 'l6': 743, 'l7': 934}",0,0.851604938271605
3,l3,"{'l1': 851.3909465020575, 'l2': 409.9794238683128, 'l3': 554.9341563786008, 'l4': 798, 'l5': 211, 'l6': 743, 'l7': 934}",0,0.9518518518518518
4,l4,"{'l1': 851.3909465020575, 'l2': 409.9794238683128, 'l3': 554.9341563786008, 'l4': 481.39094650205755, 'l5': 211, 'l6': 743, 'l7': 934}",0,0.937530864197531
5,l5,"{'l1': 851.3909465020575, 'l2': 409.9794238683128, 'l3': 554.9341563786008, 'l4': 481.39094650205755, 'l5': 841.6460905349794, 'l6': 743, 'l7': 934}",0,0.9518518518518518
6,l6,"{'l1': 851.3909465020575, 'l2': 409.9794238683128, 'l3': 554.9341563786008, 'l4': 481.39094650205755, 'l5': 841.6460905349794, 'l6': 397.34156378600824, 'l7': 934}",0,0.8333333333333334
7,l7,"{'l1': 851.3909465020575, 'l2': 409.9794238683128, 'l3': 554.9341563786008, 'l4': 481.39094650205755, 'l5': 841.6460905349794, 'l6': 397.34156378600824, 'l7': 518.3909465020575}",0,0.8901234567901234
8,l1,"{'l1': 785.7485139460448, 'l2': 409.9794238683128, 'l3': 554.9341563786008, 'l4': 481.39094650205755, 'l5': 841.6460905349794, 'l6': 397.34156378600824, 'l7': 518.3909465020575}",1,0.9518518518518518
9,l2,"{'l1': 785.7485139460448, 'l2': 379.4929126657522, 'l3': 554.9341563786008, 'l4': 481.39094650205755, 'l5': 841.6460905349794, 'l6': 397.34156378600824, 'l7': 518.3909465020575}",1,0.9518518518518518
10,l3,"{'l1': 785.7485139460448, 'l2': 379.4929126657522, 'l3': 239.61362597165066, 'l4': 481.39094650205755, 'l5': 841.6460905349794, 'l6': 397.34156378600824, 'l7': 518.3909465020575}",1,0.9
11,l4,"{'l1': 785.7485139460448, 'l2': 379.4929126657522, 'l3': 239.61362597165066, 'l4': 594.3365340649291, 'l5': 841.6460905349794, 'l6': 397.34156378600824, 'l7': 518.3909465020575}",1,0.9518518518518518
12,l5,"{'l1': 785.7485139460448, 'l2': 379.4929126657522, 'l3': 239.61362597165066, 'l4': 594.3365340649291, 'l5': 805.2382258802011, 'l6': 397.34156378600824, 'l7': 518.3909465020575}",1,0.9732510288065844
13,l6,"{'l1': 785.7485139460448, 'l2': 379.4929126657522, 'l3': 239.61362597165066, 'l4': 594.3365340649291, 'l5': 805.2382258802011, 'l6': 671.0772748056697, 'l7': 518.3909465020575}",1,0.9732510288065844
14,l7,"{'l1': 785.7485139460448, 'l2': 379.4929126657522, 'l3': 239.61362597165066, 'l4': 594.3365340649291, 'l5': 805.2382258802011, 'l6': 671.0772748056697, 'l7': 264.99085505258347}",1,0.9444444444444443
15,l1,"{'l1': 405.28181679622014, 'l2': 379.4929126657522, 'l3': 239.61362597165066, 'l4': 594.3365340649291, 'l5': 805.2382258802011, 'l6': 671.0772748056697, 'l7': 264.99085505258347}",2,0.9074074074074074
16,l2,"{'l1': 405.28181679622014, 'l2': 278.7058375247676, 'l3': 239.61362597165066, 'l4': 594.3365340649291, 'l5': 805.2382258802011, 'l6': 671.0772748056697, 'l7': 264.99085505258347}",2,0.8333333333333334
17,l3,"{'l1': 405.28181679622014, 'l2': 278.7058375247676, 'l3': 277.49900929736316, 'l4': 594.3365340649291, 'l5': 805.2382258802011, 'l6': 671.0772748056697, 'l7': 264.99085505258347}",2,0.9074074074074074
18,l4,"{'l1': 405.28181679622014, 'l2': 278.7058375247676, 'l3': 277.49900929736316, 'l4': 236.52324340801704, 'l5': 805.2382258802011, 'l6': 671.0772748056697, 'l7': 264.99085505258347}",2,0.8822222222222224
19,l5,"{'l1': 405.28181679622014, 'l2': 278.7058375247676, 'l3': 277.49900929736316, 'l4': 236.52324340801704, 'l5': 422.45374180765134, 'l6': 671.0772748056697, 'l7': 264.99085505258347}",2,0.9518518518518518
20,l6,"{'l1': 405.28181679622014, 'l2': 278.7058375247676, 'l3': 277.49900929736316, 'l4': 236.52324340801704, 'l5': 422.45374180765134, 'l6': 310.8277701569883, 'l7': 264.99085505258347}",2,0.9518518518518518
21,l7,"{'l1': 405.28181679622014, 'l2': 278.7058375247676, 'l3': 277.49900929736316, 'l4': 236.52324340801704, 'l5': 422.45374180765134, 'l6': 310.8277701569883, 'l7': 135.71361073007165}",2,0.9444444444444443
